Game Time,Home Team,Away Team,Home Wager %,Away Wager %,Home Opener Odds,Away Opener Odds
2022-04-02 01:40:00,San Diego,Kansas City,N/A,N/A,-140,110
2022-04-02 01:40:00,Colorado,Seattle,N/A,N/A,-120,-105
2022-04-02 17:05:00,Tampa Bay,Minnesota,N/A,N/A,-130,110
2022-04-02 17:05:00,Detroit,Baltimore,N/A,N/A,-145,120
2022-04-02 17:05:00,NY Yankees,Atlanta,N/A,N/A,-135,110
2022-04-02 17:05:00,Boston,Pittsburgh,N/A,N/A,-190,155
2022-04-02 17:07:00,Toronto,Philadelphia,N/A,N/A,-150,125
2022-04-02 19:05:00,LA Dodgers,San Francisco,N/A,N/A,-150,125
2022-04-02 19:05:00,Chi. Cubs,LA Angels,N/A,N/A,-130,110
2022-04-02 20:05:00,Oakland,Colorado,N/A,N/A,-120,100
2022-04-02 22:05:00,Houston,St. Louis,N/A,N/A,-145,120
2022-04-02 22:40:00,Miami,Washington,N/A,N/A,-145,120
2022-04-03 01:05:00,Texas,Cleveland,N/A,N/A,120,-145
2022-04-03 01:05:00,Cincinnati,San Diego,N/A,N/A,-115,-105
2022-04-03 01:10:00,Arizona,Chi. White Sox,N/A,N/A,120,-145
2022-04-03 01:40:00,Seattle,Milwaukee,N/A,N/A,110,-130
2022-04-03 17:05:00,Washington,Houston,N/A,N/A,135,-165
2022-04-03 17:05:00,Atlanta,Boston,N/A,N/A,-135,105
2022-04-03 17:05:00,Philadelphia,Detroit,N/A,N/A,-150,120
2022-04-03 17:05:00,Minnesota,Baltimore,N/A,N/A,-200,160
2022-04-03 17:05:00,Pittsburgh,Tampa Bay,N/A,N/A,130,-160
2022-04-03 17:07:00,Toronto,NY Yankees,N/A,N/A,-160,130
2022-04-03 17:10:00,NY Mets,Miami,N/A,N/A,-175,140
2022-04-03 20:05:00,Kansas City,Seattle,N/A,N/A,-160,130
2022-04-03 20:05:00,Oakland,San Diego,N/A,N/A,100,-125
2022-04-03 20:05:00,Chi. White Sox,Colorado,N/A,N/A,-200,160
2022-04-03 20:10:00,Arizona,Cincinnati,N/A,N/A,-120,-105
2022-04-03 20:10:00,Milwaukee,Texas,N/A,N/A,-190,150
2022-04-04 01:05:00,Cleveland,Chi. Cubs,N/A,N/A,-140,110
2022-04-04 01:05:00,LA Angels,LA Dodgers,N/A,N/A,105,-135
2022-04-04 16:05:00,Houston,NY Mets,N/A,N/A,-135,110
2022-04-04 17:05:00,Baltimore,Pittsburgh,N/A,N/A,-135,110
2022-04-04 17:05:00,St. Louis,Washington,N/A,N/A,-150,125
2022-04-04 17:05:00,Detroit,Toronto,N/A,N/A,110,-135
2022-04-04 17:05:00,Minnesota,Boston,N/A,N/A,-135,110
2022-04-04 17:05:00,Tampa Bay,Atlanta,N/A,N/A,-135,110
2022-04-04 17:05:00,NY Yankees,Philadelphia,N/A,N/A,-145,120
2022-04-04 20:05:00,Oakland,San Francisco,N/A,N/A,100,-120
2022-04-04 20:05:00,Cincinnati,Kansas City,N/A,N/A,-125,105
2022-04-04 20:05:00,Texas,San Diego,N/A,N/A,-110,-110
2022-04-04 20:05:00,Chi. Cubs,Chi. White Sox,N/A,N/A,100,-120
2022-04-04 20:10:00,Seattle,Arizona,N/A,N/A,0,0
2022-04-05 01:10:00,LA Dodgers,LA Angels,N/A,N/A,-175,140
2022-04-05 01:40:00,Arizona,Cleveland,N/A,N/A,0,0
2022-04-05 01:40:00,Colorado,Milwaukee,N/A,N/A,110,-135
2022-04-05 15:05:00,Miami,St. Louis,N/A,N/A,-150,125
2022-04-05 16:05:00,Washington,NY Mets,N/A,N/A,-125,105
2022-04-05 16:05:00,Philadelphia,Pittsburgh,N/A,N/A,-185,155
2022-04-05 17:05:00,Atlanta,Tampa Bay,N/A,N/A,-160,135
2022-04-05 17:05:00,Boston,Minnesota,N/A,N/A,-125,105
2022-04-05 17:05:00,NY Yankees,Detroit,N/A,N/A,-155,130
2022-04-05 17:07:00,Toronto,Baltimore,N/A,N/A,-200,165
